OriginalCompanyName,CleanedCompanyName,Status,Timestamp
Nieuw Saske ('t),Nieuw Saske ('t),No result found for this search term,2024-12-17 08:37:21
Thierry Mugler Benelux,Thierry Mugler Benelux,No result found for this search term,2024-12-17 08:37:36
"Centrum voor Jeugdzorg ""De Kantel"" vzw, Leefgroep A.","Centrum voor Jeugdzorg ""De Kantel"" , Leefgroep A.",No result found for this search term,2024-12-17 08:37:52
C.O.V.Christelijk Onderwijzersverbond,C.O.V.Christelijk Onderwijzersverbond,No result found for this search term,2024-12-17 08:38:07
Boniver-Moulan/L.,Boniver-Moulan/L.,No result found for this search term,2024-12-17 08:38:23
Smeets/Theo [SMEETS JAN],Smeets/Theo [SMEETS JAN],No result found for this search term,2024-12-17 08:38:38
Verstraete Philip,Verstraete Philip,not found in KBO data table,2024-12-17 08:38:54
B & S Projects BVBA,B & S Projects,EU Active,2024-12-17 08:39:09
Nathalie's Trimsalon,Nathalie's Trimsalon,EU Active,2024-12-17 08:39:25
RRCO,RRCO,ENT LP Stopped,2024-12-17 08:39:41
Gemeentebestuur Boechout,Gemeentebestuur Boechout,No result found for this search term,2024-12-17 08:39:56
Veys M,Veys M,not found in KBO data table,2024-12-17 08:40:12
Trucaroul nv,Trucaroul,not found in KBO data table,2024-12-17 08:40:27
Panos,Panos,EU Active,2024-12-17 08:40:43
Pommereul E,Pommereul E,not found in KBO data table,2024-12-17 08:40:59
A.A.S.,A.A.S.,error,
Intermat Bvba,Intermat,error,
Vantyghem Kurt,Vantyghem Kurt,error,
Cooman-Martens/J. [RIJOMATIC BVBA],Cooman-Martens/J. [RIJOMATIC ],No result found for this search term,2024-12-17 08:44:17
Vogelaers/Theo,Vogelaers/Theo,No result found for this search term,2024-12-17 08:44:33
Bilboquet (Le),Bilboquet (Le),error,
Arxis Architectes,Arxis Architectes,No result found for this search term,2024-12-17 08:45:49
Babymoov,Babymoov,not found in KBO data table,2024-12-17 08:46:05
NASIM,NASIM,ENT LP Stopped,2024-12-17 08:46:20
Hall 78 Sa,Hall 78 Sa,not found in KBO data table,2024-12-17 08:46:36
Beerens Alain SPRL,Beerens Alain,ENT LP Stopped,2024-12-17 08:17:41
Pro-Steam BVBA,Pro-Steam,ENT LP Active,2024-12-17 08:17:57
Cabinet d'avocats Glaude,Cabinet d'avocats Glaude,not found in KBO data table,2024-12-17 08:18:13
Begleidingscentrum Regio Brussel,Begleidingscentrum Regio Brussel,No result found for this search term,2024-12-17 08:18:29
Chocofino BVBA,Chocofino,ENT LP Active,2024-12-17 08:18:45
Turi Carrelages SPRL,Turi Carrelages,not found in KBO data table,2024-12-17 08:19:00
BEDO-OPELSLOPERIJ,BEDO-OPELSLOPERIJ,No result found for this search term,2024-12-17 08:19:16
De Vogeleer Nv,De Vogeleer,not found in KBO data table,2024-12-17 08:19:32
Forlan 3 SPRL,Forlan 3,ENT LP Active,2024-12-17 08:19:48
Goosens/Michael,Goosens/Michael,not found in KBO data table,2024-12-17 08:20:03
Carron Bjoke,Carron Bjoke,EU Stopped,2024-12-17 08:20:19
Xzibit,Xzibit,No result found for this search term,2024-12-17 08:20:34
Daemshof,Daemshof,EU Active,2024-12-17 08:20:50
Auto's Drutti,Auto's Drutti,No result found for this search term,2024-12-17 08:21:06
Mallinder L,Mallinder L,not found in KBO data table,2024-12-17 08:21:21
Huybrects/Roger [HOTEL LE CASTILLAN],Huybrects/Roger [HOTEL LE CASTILLAN],No result found for this search term,2024-12-17 08:21:37
9G,9G,EU Stopped,2024-12-17 08:21:52
Piercy/Vivien,Piercy/Vivien,not found in KBO data table,2024-12-17 08:22:08
La Bonne Bouteille SPRL,La Bonne Bouteille,ENT LP Stopped,2024-12-17 08:22:23
Bovan BVBA,Bovan,ENT LP Stopped,2024-12-17 08:22:39
G-Interieur BVBA,G-Interieur,ENT LP Active,2024-12-17 08:22:55
"Global Crossing Belgi? BVBA, Global Crossing","Global Crossing Belgi? , Global Crossing",No result found for this search term,2024-12-17 08:23:11
Cleeren-De Groote/P.,Cleeren-De Groote/P.,No result found for this search term,2024-12-17 08:23:27
Syndicat d'Initiative,Syndicat d'Initiative,not found in KBO data table,2024-12-17 08:23:43
Prefa-Eddy Roosen,Prefa-Eddy Roosen,not found in KBO data table,2024-12-17 08:23:59
Vermoortele/Et,Vermoortele/Et,not found in KBO data table,2024-12-17 08:24:15
Prognoz Europe SPRL,Prognoz Europe,ENT LP Stopped,2024-12-17 08:24:30
Degroote Bart [BETOWEST],Degroote Bart [BETOWEST],No result found for this search term,2024-12-17 08:24:46
Bonobo Apart hotel BVBA,Bonobo Apart hotel,ENT LP Active,2024-12-17 08:25:02
Langers Kris BVBA,Langers Kris,not found in KBO data table,2024-12-17 08:25:17
Folders Bedeling BVBA,Folders Bedeling,ENT LP Stopped,2024-12-17 08:25:33
Van Gucht/Nicole,Van Gucht/Nicole,not found in KBO data table,2024-12-17 08:25:48
AthÃ©nÃ©e L Lepage,AthÃ©nÃ©e L Lepage,No result found for this search term,2024-12-17 08:26:04
D'Haeyer-D'Haeyer/J.,D'Haeyer-D'Haeyer/J.,No result found for this search term,2024-12-17 08:26:19
Steenkiste Ph,Steenkiste Ph,No result found for this search term,2024-12-17 08:26:35
Point de Mire (Boutique),Point de Mire (Boutique),No result found for this search term,2024-12-17 08:26:51
Prestone,Prestone,ENT LP Stopped,2024-12-17 08:27:07
Rotexco NV,Rotexco,ENT LP Stopped,2024-12-17 08:27:22
Van Den Zegel/Roger,Van Den Zegel/Roger,not found in KBO data table,2024-12-17 08:27:38
FLORAIR 3000 SA,FLORAIR 3000 SA,not found in KBO data table,2024-12-17 08:27:53
Gueuffen D,Gueuffen D,not found in KBO data table,2024-12-17 08:28:09
Lotus of India,Lotus of India,No result found for this search term,2024-12-17 08:28:25
AZ ST LUCAS BRUGGE,AZ ST LUCAS BRUGGE,not found in KBO data table,2024-12-17 08:28:40
Vanderwegen &amp Cie SA,Vanderwegen &amp Cie SA,No result found for this search term,2024-12-17 08:28:56
Dakrubbercentrale BVBA,Dakrubbercentrale,ENT LP Active,2024-12-17 08:29:11
Eurosol BVBA,Eurosol,ENT LP Stopped,2024-12-17 08:29:27
Goossens/Anne [AQUA FIT],Goossens/Anne [AQUA FIT],No result found for this search term,2024-12-17 08:29:42
Noa Productions SPRL,Noa Productions,ENT LP Active,2024-12-17 08:29:58
Cieffe Benelux BVBA,Cieffe Benelux,not found in KBO data table,2024-12-17 08:30:14
Detraux L,Detraux L,not found in KBO data table,2024-12-17 08:30:29
Mertens/Jozef,Mertens/Jozef,not found in KBO data table,2024-12-17 08:30:45
Van den broeck-Ysewijn/Vincent [PRO-ENGINEERING DESIGN],Van den broeck-Ysewijn/Vincent [PRO-ENGINEERING DESIGN],No result found for this search term,2024-12-17 08:31:01
Flahy H,Flahy H,not found in KBO data table,2024-12-17 08:31:16
Gunst/Leocadie,Gunst/Leocadie,not found in KBO data table,2024-12-17 08:31:32
Bloemenrijk BVBA,Bloemenrijk,ENT LP Stopped,2024-12-17 08:31:47
Campanile H?tel Grill,Campanile H?tel Grill,No result found for this search term,2024-12-17 08:32:03
Altemp NV,Altemp,ENT LP Active,2024-12-17 08:32:19
JGI-Computers,JGI-Computers,EU Stopped,2024-12-17 08:32:34
Investigus Agency,Investigus Agency,EU Stopped,2024-12-17 08:32:50
Van De Velde/S.,Van De Velde/S.,not found in KBO data table,2024-12-17 08:33:05
"Kinderwerking ""'t Dokske""","Kinderwerking ""'t Dokske""",not found in KBO data table,2024-12-17 08:33:21
Te Voet,Te Voet,not found in KBO data table,2024-12-17 08:33:37
Simons S.,Simons S.,not found in KBO data table,2024-12-17 08:33:54
Verbiest C,Verbiest C,not found in KBO data table,2024-12-17 08:34:10
Van Damme/Petra,Van Damme/Petra,not found in KBO data table,2024-12-17 08:34:25
Gesves.com,Gesves.com,EU Active,2024-12-17 08:34:41
Safety@Height,Safety@Height,No result found for this search term,2024-12-17 08:34:56
Guignol Le Resto,Guignol Le Resto,No result found for this search term,2024-12-17 08:35:12
Fran?ois D Ets,Fran?ois D Ets,No result found for this search term,2024-12-17 08:35:27
Clos de la Pommeraie,Clos de la Pommeraie,No result found for this search term,2024-12-17 08:35:43
Rugtier L,Rugtier L,not found in KBO data table,2024-12-17 08:35:59
Saelens/Erik [SAELENS RIEN],Saelens/Erik [SAELENS RIEN],No result found for this search term,2024-12-17 08:36:14
Sellerie de Waimes,Sellerie de Waimes,EU Active,2024-12-17 08:36:30
Verbist/Paul,Verbist/Paul,not found in KBO data table,2024-12-17 08:36:45
Guyssens Jean-Louis,Guyssens Jean-Louis,No result found for this search term,2024-12-17 08:37:01
A.F. Security,A.F. Security,EU Stopped,2024-12-17 08:37:16
Bloemenkorf (De),Bloemenkorf (De),not found in KBO data table,2024-12-17 08:37:32
Rolly/Johan,Rolly/Johan,not found in KBO data table,2024-12-17 08:37:48
Interact Consultancy,Interact Consultancy,ENT LP Stopped,2024-12-17 08:38:03
Rob,Rob,not found in KBO data table,2024-12-17 08:38:20
Ceramega nv [IC-VLOEREN VOOR HET LEVEN],Ceramega  [IC-VLOEREN VOOR HET LEVEN],No result found for this search term,2024-12-17 08:38:36
Decoster/Jozef [DECOSTER TAPIJTEN EN INTERIEURICHTING],Decoster/Jozef [DECOSTER TAPIJTEN EN INTERIEURICHTING],No result found for this search term,2024-12-17 08:38:51
Theunis/D.,Theunis/D.,not found in KBO data table,2024-12-17 08:39:07
Transluben SPRL,Transluben,ENT LP Active,2024-12-17 08:39:23
P?re ClÃ©ment (Au),P?re ClÃ©ment (Au),No result found for this search term,2024-12-17 08:39:38
Herman/Jozef,Herman/Jozef,not found in KBO data table,2024-12-17 08:39:54
"Lontzen, Ãffentliche Arbeiten","Lontzen, Ãffentliche Arbeiten",No result found for this search term,2024-12-17 08:40:09
La Couronne [AANNEMINGSBEDRIJF LA COURONNE],La Couronne [AANNEMINGSBEDRIJF LA COURONNE],not found in KBO data table,2024-12-17 08:40:25
Mattheus/Evrard,Mattheus/Evrard,No result found for this search term,2024-12-17 08:40:40
Lescrauwaet,Lescrauwaet,not found in KBO data table,2024-12-17 08:40:56
Demuynck-Delvaux/F. [DELVAUX ELS],Demuynck-Delvaux/F. [DELVAUX ELS],No result found for this search term,2024-12-17 08:41:13
A A Z Office Suppliers Sprl,A A Z Office Suppliers,No result found for this search term,2024-12-17 08:41:28
Cosy Corner [SCHUYTER],Cosy Corner [SCHUYTER],No result found for this search term,2024-12-17 08:41:44
Dietens/Myriam,Dietens/Myriam,No result found for this search term,2024-12-17 08:41:59
Bernister (Le) SA,Bernister (Le) SA,not found in KBO data table,2024-12-17 08:42:15
De Braekeleer Karen,De Braekeleer Karen,not found in KBO data table,2024-12-17 08:42:30
Haep Bremat SA,Haep Bremat SA,No result found for this search term,2024-12-17 08:42:46
Bruyninckx R,Bruyninckx R,No result found for this search term,2024-12-17 08:43:01
Suetens Filip,Suetens Filip,not found in KBO data table,2024-12-17 08:43:17
Mostaard Wostijn,Mostaard Wostijn,No result found for this search term,2024-12-17 08:43:33
C.A.L. Carrosserie,C.A.L. Carrosserie,No result found for this search term,2024-12-17 08:17:41
Slabbinck S,Slabbinck S,not found in KBO data table,2024-12-17 08:17:57
Benali/Mohammed,Benali/Mohammed,not found in KBO data table,2024-12-17 08:18:13
Douret N,Douret N,No result found for this search term,2024-12-17 08:18:29
B T S Language Center Sprl,B T S Language Center,No result found for this search term,2024-12-17 08:18:44
De Paepe/Liesbeth,De Paepe/Liesbeth,not found in KBO data table,2024-12-17 08:19:00
Cartopack NV,Cartopack,EU Active,2024-12-17 08:19:15
Conceptelec,Conceptelec,EU Stopped,2024-12-17 08:19:31
Hanson Aggregates Belgium nv,Hanson Aggregates Belgium,ENT LP Stopped,2024-12-17 08:19:47
Van Der Munsbrugge Patrick,Van Der Munsbrugge Patrick,No result found for this search term,2024-12-17 08:20:02
V.A.G.S. DÃ©cor SPRL,V.A.G.S. DÃ©cor,No result found for this search term,2024-12-17 08:20:17
Inst Provincial d'Enseignement Agronomique de la Reid,Inst Provincial d'Enseignement Agronomique de la Reid,No result found for this search term,2024-12-17 08:20:33
Stickelmann,Stickelmann,not found in KBO data table,2024-12-17 08:20:49
Gouleh,Gouleh,ENT LP Stopped,2024-12-17 08:21:04
Just Communication,Just Communication,ENT LP Active,2024-12-17 08:21:20
Catrysse/Dimitry [DITA],Catrysse/Dimitry [DITA],No result found for this search term,2024-12-17 08:21:35
Stockel Sports,Stockel Sports,EU Stopped,2024-12-17 08:21:51
Herremans/Daniel,Herremans/Daniel,not found in KBO data table,2024-12-17 08:22:06
Wolf Thierry Sprl [SEPI],Wolf Thierry  [SEPI],No result found for this search term,2024-12-17 08:22:22
Perneel Champignons BVBA,Perneel Champignons,not found in KBO data table,2024-12-17 08:22:37
Art-Toit SA,Art-Toit SA,not found in KBO data table,2024-12-17 08:22:53
Pauwels/Nancy,Pauwels/Nancy,not found in KBO data table,2024-12-17 08:23:09
Bils Exclusive Travel BVBA,Bils Exclusive Travel,ENT LP Stopped,2024-12-17 08:23:25
R &amp D Ptr,R &amp D Ptr,No result found for this search term,2024-12-17 08:23:40
Van Der Borght,Van Der Borght,not found in KBO data table,2024-12-17 08:23:56
"Universiteit Antwerpen VZW, Receptie UFSIA VZW","Universiteit Antwerpen , Receptie UFSIA",No result found for this search term,2024-12-17 08:24:12
SacrÃ©/B.,SacrÃ©/B.,not found in KBO data table,2024-12-17 08:24:28
CKC SPRL,CKC,EU Stopped,2024-12-17 08:24:43
SENTOBIN BVBA,SENTOBIN,ENT LP Active,2024-12-17 08:24:59
Haute Ecole Provinciale Ing?Â©nieur Industriel,Haute Ecole Provinciale Ing?Â©nieur Industriel,No result found for this search term,2024-12-17 08:25:15
Hulens Engineering BVBA,Hulens Engineering,ENT LP Stopped,2024-12-17 08:25:31
Lorsom/Marc,Lorsom/Marc,not found in KBO data table,2024-12-17 08:25:46
De Regge-Steenbeke R.,De Regge-Steenbeke R.,No result found for this search term,2024-12-17 08:26:02
Subliem BVBA,Subliem,ENT LP Stopped,2024-12-17 08:26:18
Coppac,Coppac,ENT LP Active,2024-12-17 08:26:33
Bogimac Engineering NV,Bogimac Engineering,EU Stopped,2024-12-17 08:26:49
Cartovan BVBA,Cartovan,ENT LP Stopped,2024-12-17 08:27:05
PePa Beveiliging,PePa Beveiliging,No result found for this search term,2024-12-17 08:27:20
NorrÃ©e/Arthur,NorrÃ©e/Arthur,No result found for this search term,2024-12-17 08:27:36
High-Performance,High-Performance,not found in KBO data table,2024-12-17 08:27:51
Jsk?Â° Nanoball Gmbh Dr. Gino De Rycke,Jsk?Â° Nanoball Gmbh Dr. Gino De Rycke,No result found for this search term,2024-12-17 08:28:07
Search & Selection bvba,Search & Selection,EU Active,2024-12-17 08:28:23
Theuns-Kenis/R. ['T KLAVERTJE],Theuns-Kenis/R. ['T KLAVERTJE],No result found for this search term,2024-12-17 08:28:38
Juvo BVBA,Juvo,ENT LP Active,2024-12-17 08:28:54
Steurs-Dockx,Steurs-Dockx,EU Active,2024-12-17 08:29:09
FÃ©dÃ©ration Internationale de Laiterie (FIL),FÃ©dÃ©ration Internationale de Laiterie (FIL),No result found for this search term,2024-12-17 08:29:25
Van Garsse Interieurs nv,Van Garsse Interieurs,ENT LP Stopped,2024-12-17 08:29:40
De Schryver Helena,De Schryver Helena,No result found for this search term,2024-12-17 08:29:56
Don Bosco,Don Bosco,not found in KBO data table,2024-12-17 08:30:12
"Tasiaux Octave Etablissements, Appel GÃ©nÃ©ral","Tasiaux Octave Etablissements, Appel GÃ©nÃ©ral",No result found for this search term,2024-12-17 08:30:28
Final Touch,Final Touch,ENT LP Stopped,2024-12-17 08:30:43
Mission Locale Tournai asbl,Mission Locale Tournai,No result found for this search term,2024-12-17 08:31:00
Coup de Poing,Coup de Poing,ENT LP Active,2024-12-17 08:31:15
Digital Data NV,Digital Data,ENT LP Active,2024-12-17 08:31:31
Matthys/Marcel [MATTHYS & CO NV],Matthys/Marcel [MATTHYS & CO ],No result found for this search term,2024-12-17 08:31:46
Orthopedie Van Haesendonck NV,Orthopedie Van Haesendonck,ENT LP Active,2024-12-17 08:32:02
Delacroix/Damien,Delacroix/Damien,not found in KBO data table,2024-12-17 08:32:17
Bourgeois/Jean-Paul,Bourgeois/Jean-Paul,not found in KBO data table,2024-12-17 08:32:33
Wegrio BVBA,Wegrio,ENT LP Stopped,2024-12-17 08:32:48
Cool N,Cool N,No result found for this search term,2024-12-17 08:33:04
Mercatorfonds,Mercatorfonds,ENT LP Active,2024-12-17 08:33:19
Deba Nv,Deba,ENT LP Stopped,2024-12-17 08:33:35
Food Tendance BVBA,Food Tendance,EU Stopped,2024-12-17 08:33:51
DVL 4X4 Products,DVL 4X4 Products,No result found for this search term,2024-12-17 08:34:06
Diepvints F (SBO-BVO),Diepvints F (SBO-BVO),No result found for this search term,2024-12-17 08:34:22
De Wulf Rob,De Wulf Rob,No result found for this search term,2024-12-17 08:34:37
Hairdesign R &amp D BVBA,Hairdesign R &amp D,No result found for this search term,2024-12-17 08:34:53
Rehau Nv,Rehau,ENT LP Active,2024-12-17 08:35:08
Van Bortel Begrafenissen,Van Bortel Begrafenissen,No result found for this search term,2024-12-17 08:35:24
Torck Christof,Torck Christof,not found in KBO data table,2024-12-17 08:35:39
Stegmann Belgium,Stegmann Belgium,ENT LP Active,2024-12-17 08:35:55
Caddyfox SPRL,Caddyfox,No result found for this search term,2024-12-17 08:36:10
Bermalux bvba,Bermalux,ENT LP Stopped,2024-12-17 08:36:26
De Ceulaer/Freddy,De Ceulaer/Freddy,not found in KBO data table,2024-12-17 08:36:41
Tanghe Gerdy BVBA,Tanghe Gerdy,EU Stopped,2024-12-17 08:36:57
"De Scheepvaart nv, Dienst van de Scheepvaart [SECTIE HAM - HERENTALS 2]","De Scheepvaart , Dienst van de Scheepvaart [SECTIE HAM - HERENTALS 2]",No result found for this search term,2024-12-17 08:37:12
Verstrynge Chris,Verstrynge Chris,not found in KBO data table,2024-12-17 08:37:28
ABI Place,ABI Place,ENT LP Active,2024-12-17 08:37:43
Club sa,Club sa,not found in KBO data table,2024-12-17 08:38:03
De Lausnay-Buys/S.,De Lausnay-Buys/S.,No result found for this search term,2024-12-17 08:38:19
Harteel/J.-M. [INSERTA MEDIA],Harteel/J.-M. [INSERTA MEDIA],No result found for this search term,2024-12-17 08:38:34
Quartefeuille SPRL,Quartefeuille,ENT LP Stopped,2024-12-17 08:38:50
MERTENS LIEVE VERZEKERINGEN BVBA,MERTENS LIEVE VERZEKERINGEN,No result found for this search term,2024-12-17 08:39:05
Similes-Federatie vzw,Similes-Federatie,not found in KBO data table,2024-12-17 08:39:21
Janssens J & F bvba [OPUS LATINO],Janssens J & F  [OPUS LATINO],No result found for this search term,2024-12-17 08:39:37
Kleykens - Vandersmissen/Chantal [NAGELSTUDIO CHANTAL],Kleykens - Vandersmissen/Chantal [NAGELSTUDIO CHANTAL],No result found for this search term,2024-12-17 08:39:52
Association Belge Des Enseignants & Pratiquants De Yoga (A.B.E.P.Y.),Association Belge Des Enseignants & Pratiquants De Yoga (A.B.E.P.Y.),not found in KBO data table,2024-12-17 08:40:08
R.S.B.,R.S.B.,ENT LP Stopped,2024-12-17 08:40:24
Ceyssens/Jack,Ceyssens/Jack,not found in KBO data table,2024-12-17 08:40:39
Immo Gevan NV,Immo Gevan,ENT LP Active,2024-12-17 08:40:55
Amadeus,Amadeus,ENT LP Stopped,2024-12-17 08:41:11
Peeraer en Co BVBA,Peeraer en Co,not found in KBO data table,2024-12-17 08:41:27
VÃ©randa Pierrot,VÃ©randa Pierrot,No result found for this search term,2024-12-17 08:41:42
Publimax,Publimax,ENT LP Stopped,2024-12-17 08:41:58
Scholen Sanderus,Scholen Sanderus,not found in KBO data table,2024-12-17 08:42:13
Pano Reizen NV,Pano Reizen,ENT LP Stopped,2024-12-17 08:42:29
Watelet SPRL,Watelet,not found in KBO data table,2024-12-17 08:42:45
Parameditheek Juste Raoul,Parameditheek Juste Raoul,ENT LP Active,2024-12-17 08:43:01
Tonnelier,Tonnelier,not found in KBO data table,2024-12-17 08:43:16
C.M.S. sa [SENEC],C.M.S. sa [SENEC],not found in KBO data table,2024-12-17 08:43:32
Brabo CVBA,Brabo,EU Active,2024-12-17 08:17:42
Thoelen/Piet,Thoelen/Piet,No result found for this search term,2024-12-17 08:17:58
Brughmans G,Brughmans G,No result found for this search term,2024-12-17 08:18:13
Jans-Jolling/H.,Jans-Jolling/H.,No result found for this search term,2024-12-17 08:18:29
SA Italo-Suisse [PROMOCHOC ET SUPERCHOC],SA Italo-Suisse [PROMOCHOC ET SUPERCHOC],No result found for this search term,2024-12-17 08:18:45
City Shopping Center Gent Zuid,City Shopping Center Gent Zuid,No result found for this search term,2024-12-17 08:19:00
